"fips","year","new_total_mds"
"28035",2015,167
"28037",2015,6
"28039",2015,13
"28041",2015,3
"28043",2015,31
"28045",2015,28
"28047",2015,401
"28049",2015,1288
"28051",2015,11
"28053",2015,6
"28055",2015,0
"28057",2015,7
"28059",2015,270
"28061",2015,2
"28063",2015,3
"28065",2015,3
"28067",2015,81
"28069",2015,2
"28071",2015,113
"28073",2015,270
"28075",2015,223
"28077",2015,5
"28079",2015,8
"28081",2015,308
"28083",2015,55
"28085",2015,48
"28087",2015,103
"28089",2015,643
"28091",2015,16
"28093",2015,7
"28095",2015,28
"28097",2015,6
"28099",2015,25
"28101",2015,4
"28103",2015,2
"28105",2015,62
"28107",2015,19
"28109",2015,24
"28111",2015,0
"28113",2015,59
"28115",2015,8
"28117",2015,20
"28119",2015,2
"28121",2015,413
"28123",2015,4
"28125",2015,2
"28127",2015,11
"28129",2015,3
"28131",2015,6
"28133",2015,13
"28135",2015,5
"28137",2015,8
"28139",2015,7
"28141",2015,8
"28143",2015,3
"28145",2015,23
"28147",2015,4
"28149",2015,68
"28151",2015,68
"28153",2015,10
"28155",2015,2
"28157",2015,3
"28159",2015,8
"28161",2015,5
"28163",2015,12
"29001",2015,11
"29003",2015,2
"29005",2015,1
"29007",2015,29
"29009",2015,21
"29011",2015,4
"29013",2015,3
"29015",2015,4
"29017",2015,1
"29019",2015,1382
"29021",2015,165
"29023",2015,97
"29025",2015,0
"29027",2015,29
"29029",2015,50
"29031",2015,266
"29033",2015,2
"29035",2015,4
"29037",2015,39
"29039",2015,2
"29041",2015,1
"29043",2015,88
"29045",2015,0
"29047",2015,356
"29049",2015,12
"29051",2015,145
"29053",2015,11
"29055",2015,3
"29057",2015,4
"29059",2015,1
"29061",2015,1
"29063",2015,1
"29065",2015,5
"29067",2015,3
"29069",2015,24
"29071",2015,130
"29073",2015,7
"29075",2015,4
"29077",2015,793
"29079",2015,3
"29081",2015,2
"29083",2015,21
"29085",2015,0
"29087",2015,3
"29089",2015,6
